x,y
19.258375702414533,16.221619920576902
85.28013609545376,60.19179790982512
16.840522446172358,14.589153790522417
88.18119631170921,62.16806799770757
74.33854279208458,52.941530371042674
7.0131940587084385,8.023623878214929
69.56730616309301,49.718918950902165
67.34407993657041,48.24876341964369
19.50160648436292,16.372587711317824
86.45666159751038,60.99934860733375
91.41058969107269,64.27545145219077
99.53621187974576,69.6927829968969
64.50543956565053,46.36047022809366
95.34340410387689,66.94370804134934
95.71353953702719,67.16621419411705
25.993740595771442,20.68923896995676
65.64638466613053,47.10255949158656
38.410048738473236,28.95019570475995
70.2075127415983,50.15114560822368
28.952268038020325,22.636761339050597
60.305048496471144,43.54476449208033
19.52763166913214,16.379246996379077
6.654847997930413,7.81938518974036
76.72306318755768,
19.68402875507792,16.502559280416737
50.48729305830486,36.992539885535
53.11353143955168,38.77572839827781
43.0410424147161,32.035900475973484
22.721574626950446,18.501395298064793
61.97948823245978,44.69035914726709
57.7959943202234,41.899670143214756
64.7757479451735,46.53252953378198
85.50193953614755,60.358770488726236
87.54529253641276,61.70076933611809
76.7339600642281,54.53418981827332
10.430765313303347,10.30075856460296
69.11731550021352,49.45140475708384
65.65140401119041,47.11305011782066
3.9931756203559154,6.013178771530314
66.88180081770906,47.968473655805894
51.01034826559726,37.367794306052325
27.8017555665108,21.910230849755358
35.83661314826444,27.244542727552165
34.558081251316594,26.39489767227544
3.3334060658738673,5.588395284640174
99.66880333164072,69.78244495619863
94.97800185728363,66.67675050253959
46.444702692286256,34.321163568120845
80.97945697498179,57.330562724721325
39.965511250873334,30.01256972432155
17.583760976521432,15.089335437785627
31.319929352346488,24.245794569126804
12.510822855811165,11.674567028866061
74.9634830591651,53.33542624122212
0.9755593354975223,4.020109691692407
35.8365637331069,27.266393645767373
20.796460393965567,17.199121728401153
2.696086252985752,5.161668647075765
55.28671166909673,40.21670732747148
91.02055187356075,
32.922173153305344,25.303382838550682
76.2934762319069,54.23665330477899
64.03776540617677,
90.75062453220262,63.86735334235674
0.5206778718503724,3.6992671912348247
5.690957371906702,7.160295457760133
68.46361933323124,48.97903018041938
95.6156064340584,67.11304131576476
17.555873871048966,15.062964429926808
65.85882418913516,47.25022420905509
1.1789576743901797,4.156783105359634
47.936209142013,35.296508213670826
17.037939288642633,14.703264299438162
90.05082226711446,63.38219245594971
53.64835207535118,39.135453514439384
